Rating,Comments,Category,Comment Categories,Rating Categories
5.0,"Hey guys this is TECHBORED! and this is unboxing and also will adding some camera shots.
-----------------------
IN THE BOX
-----------------------
1. Manuals with warranty information.
2. Charging cable.
3. 5V 2A power adapter.
4. Transparent TPU case.
5. Redmi 6 Pro.
----------
DESIGN
----------
1. The transparent case fits well and is a perfect fit. Gives nice feel in hands.
2. It comes with a notch that is small and I really liked it, At least Xiaomi has tried to cut out the bezels at this budget segment.
3. It sports a FULL HD + display with that 19:9 aspect ratio.
4. On the top of the phone there is this infrared sensor secondary noise cancellation microphone and wow there is this 3.5mm headphone jack. Always happy to see this port.
5. Now moving to the button than there is this micro USB port situated with microphone and the speaker that is loud but decent sounding speaker.
6. Redmi 6 Pro body is made up of both metal and plastic. So this is only where metal is used but on the top bottom and on the sides it is plastic. Also the sim tray is made up of plastic. Buttons are made up of metal thats nice and gives very nice feedback.
----------------------------
DUAL 4G STANDBY
----------------------------
There is DUAL SIM with dual 4G standby so you can use both sims on 4G at same time. And here is a
good thing that I liked about this and it is that it has dedicated Micro SD card slot.
---------------------------
FACE UNLOCK
---------------------------
There is also the finger print sensor that is fast enough to unlock and it also come with this face unlock that is pretty fast and I think it is very much secure. At least it will not be unlocked with your pictures.
-----------------------
CAMERA SETUP
-----------------------
1. The best thing that Xiaomi has put in to this Redmi 6 Pro and it is the same camera setup as on Redmi Note 5 Pro. So it has 12Mp with 5mp dual camera setup with aperture of 2.2 and the single LED flash in the middle. Just now I cannot tell in detail that how how camera performs but I have included some shots that are taken on Redmi 6 Pro and I think they are nice, decent and are almost the the same as on Redmi Note 5 Pro.
2. This camera setup can record upto 1080p videos at 30fps and it supports EIS and the videos are not much shaky and EIS performs well. Where as on the front is 5MP with aperture of 2.0 camera and its decent.
-------------------
HARDWARE
-------------------
1. So it is powered with the same old Snaprdragon 625 and I think think that it is good for the budget smartphones for now and it performs well on this smartphone.
2. Redmi 6 Pro is backed up with 4000mAh battery that is great.
3. Running on Android 8.1 Oreo and on the top of that there is custom MIUI 9. It will soon get a stable update of MIUI10.
4. So the Redmi 6 pro comes in 3GB RAM with 32GB internal mermory and 4GB RAM with 64 GB internal memory variants.",Display,Positive,Very Positive
5.0,NYC camera and battery backup,Battery,Neutral,Very Positive
1.0,A very worst mobile in such a BiG cost paid.. in 11K rs. There are so many best mobiles are present in every company..The very disappointing thing is its front camera.in today selfie days there is a very dirty and disappointing front camra..a big loss of Rs..,Camera,Negative,Very Negative
5.0,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cons after 1 day of use. (will update soon)
Pros
1. Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
2. Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
3. Audio 9/10
4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
5. Price - Price of this device is fair in all aspects. 10/10

Cons
The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful.",Display,Positive,Very Positive
4.0,"Pros
Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cons
Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10000",Display,Positive,Positive
5.0,Best phone with face unlock full hd video recording and all latest features.,Others,Positive,Very Positive
2.0,"Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family.

Not satisfied with the looks, screen size and it is a fatty phone.",Others,Negative,Negative
1.0,"Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.",Camera,Very Negative,Very Negative
1.0,"Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon",Display,Very Negative,Very Negative
5.0,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,Others,Positive,Very Positive
1.0,"Worst, don't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.",Battery,Very Negative,Very Negative
1.0,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",Others,Negative,Very Negative
3.0,"after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000/- for this phone.
here i analyse some pros and cons of this phone after countinious using of this phone.
PROS:-
1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive.
2.two days battery backup if you not playing heavy games on it like PUBG.
3.Snapdragon 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures
5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition.
6.process optimization in this phone is good.
7.there are a little notch which increase the looks and design of phone.
CONS:-
1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess.
2.Downloading process in background is little bit slow in this phone as compare to other redmi phones.
3. video recording quality of this phone is not good.
4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras.",Battery,Negative,Neutral
5.0,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cons after 1 day of use. (will update soon)
Pros
1. Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
2. Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
3. Audio 9/10
4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
5. Price - Price of this device is fair in all aspects. 10/10

Cons
The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful.",Display,Positive,Very Positive
4.0,"Pros
Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cons
Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10000",Display,Positive,Positive
5.0,Best phone with face unlock full hd video recording and all latest features.,Others,Positive,Very Positive
2.0,"Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family.

Not satisfied with the looks, screen size and it is a fatty phone.",Others,Negative,Negative
1.0,"Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.",Camera,Very Negative,Very Negative
1.0,"Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon",Display,Very Negative,Very Negative
5.0,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,Others,Positive,Very Positive
1.0,"Worst, don't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.",Battery,Very Negative,Very Negative
1.0,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",Others,Negative,Very Negative
3.0,"after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000/- for this phone.
here i analyse some pros and cons of this phone after countinious using of this phone.
PROS:-
1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive.
2.two days battery backup if you not playing heavy games on it like PUBG.
3.Snapdragon 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures
5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition.
6.process optimization in this phone is good.
7.there are a little notch which increase the looks and design of phone.
CONS:-
1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess.
2.Downloading process in background is little bit slow in this phone as compare to other redmi phones.
3. video recording quality of this phone is not good.
4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras.",Battery,Very Positive,Neutral
1.0,"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used Only Display quality is excellent... price should be 9000-9500.Damaged charger given Amazon is cheating people",Display,Very Negative,Very Negative
5.0,Good,Others,Neutral,Very Positive
5.0,"Osm product
Amazon is better then flipkart I never buy on 1st sale of mi phones on flipkart but in Amazon I order 2 phones in 1st sale quickly
This phone is very good and it's battery backup is amazing I love it very much
And it's camera is very good quality",Battery,Positive,Very Positive
5.0,"Very nice looking, slim, light weight, sound quality, battery back up... all factors are nice...MI 6 Pro is Nice mobile satisfied with prize and quality what I expected before purchasing.",Battery,Positive,Very Positive
5.0,Bettary so good,Others,Very Negative,Very Positive
5.0,excellent this redmi 6 Pro so nice product of redmi product thank you for xiaomi,Others,Positive,Very Positive
1.0,"After using it for 10 days, I am writing it, this phone as well MI A2 Hangs, please do not purchase.",Others,Negative,Very Negative
5.0,"Working good with Snapdragon 625 which is its best part. Camera is also good in this price range, camera clarity is good. Just go for it..",Camera,Positive,Very Positive
5.0,"Really nice one
Thankd",Others,Positive,Very Positive
4.0,Dislike snapdragon 425,Others,Negative,Positive
5.0,"the camera is good, phone is fast overall work well in all department",Camera,Positive,Very Positive
1.0,"I got this product today camera both front and back are not upto mark.
Pixels are scattered. Please don't buy this phone just because u r getting it for 11k.",Camera,Very Negative,Very Negative
4.0,"Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming.
Back camera is awesome.
But,if you are a selfie lover so then you should not go with this.
It contains Ir blaster,there are no other phones provides that.",Camera,Positive,Positive
4.0,Very good phone at this price. Display quality perfect,Display,Positive,Positive
1.0,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.,Others,Negative,Very Negative
4.0,Good purchase nice phone with good features like 3 slots and face lock,Others,Positive,Positive
1.0,Do not buy.,Others,Negative,Very Negative
1.0,Phone has heating issue. Amazon return policy is very bad they will check our phone with blancco app. The app is designed to say phone is perfect always. Go for realme 2 much better phone and u can save 2000 rupees also.,Others,Negative,Very Negative
5.0,"Amazing phone like a iphone
Nice built quality
Super camera
Super display
Better battery
Using in single hands to happy
Value for money",Display,Positive,Very Positive
5.0,Best value for money,Others,Positive,Very Positive
1.0,Please dont't bye camera is good but battery back up not good,Battery,Negative,Very Negative
5.0,i love it awesome phone 11k camera battery super b,Battery,Positive,Very Positive
4.0,"This is a good mobile at this price.
Pros : Good display, fast processing and large battery.
Cons : Camera is good but nothing special having dual camera setup.",Display,Positive,Positive
1.0,"Charging issue
Lagging issue
hanging issue
multiple issue.",Battery,Negative,Very Negative
3.0,"Nice product
Front or rear camera thoda accha hona chahiye tha",Camera,Positive,Neutral
5.0,"I like This Phone, Awesome look and design.
I'm using this phone",Others,Positive,Very Positive
4.0,Product is avasome but invoice is note include......,Others,Negative,Positive
3.0,"Redmi Note4, Note5, now 6pro..It seems the older the model the better was the performance as I used all 3 models in the line. The notch design, hides the battery % and network speed, one has to pull down a bit to see these 2 things. Note 5 and 6pro both have a common issue-- after switching the swipe up (to unlock) does not work smoothly every time. The escape is to switch off the swipe up feature. After Note4, in the newer models the length of USB cable has become shorter, whichis a problem if you are little away from the plug point. How much cost does Xiaomi saves by shortening the cable? 6pro came with a smaller ejection tool, additional cost saving by cutting 2gm of metal. The front flash if Note5 has been removed in 6pro. These manufacturers seem to be idiots and fooling public by launching new models without any real additional feature or improvement. Anyway, its an OK phone for 10,000 (3GB/32GB). For 11,000 a customer expects a little more, and Xiaomi disappoints here.",Battery,Negative,Neutral
5.0,I love mi,Others,Positive,Very Positive
1.0,"Same old configurations with higher price.
Not worth for money.
Camera quality is not up to mark.
Notch - I personally feel this as a feature which is not useful for this size (5.84) of phone. Infact that makes phone looks smaller than 5.84 as notch is also included in size.

There are better options available in same price range.",Camera,Negative,Very Negative
